Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,Rating
750-67-8428,Hà Nội,Member,Nữ,Health and beauty,74.69,7,26.1415,548.9715,1/5/19,13:08,Ewallet,522.83,9.1
226-31-3081,TP HCM,Normal,Nữ,Electronic accessories,15.28,5,3.82,80.22,3/8/19,10:29,Cash,76.4,9.6
631-41-3108,Hà Nội,Normal,Nam,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/19,13:23,Credit card,324.31,7.4
123-19-1176,Hà Nội,Member,Nam,Health and beauty,58.22,8,23.288,489.048,1/27/19,20:33,Ewallet,465.76,8.4
373-73-7910,Hà Nội,Normal,Nam,Sports and travel,86.31,7,30.2085,634.3785,2/8/19,10:37,Ewallet,604.17,5.3
699-14-3026,TP HCM,Normal,Nam,Electronic accessories,85.39,7,29.8865,627.6165,3/25/19,18:30,Ewallet,597.73,4.1
355-53-5943,Hà Nội,Member,Nữ,Electronic accessories,68.84,6,20.652,433.692,2/25/19,14:36,Ewallet,413.04,5.8
315-22-5665,TP HCM,Normal,Nữ,Home and lifestyle,73.56,10,36.78,772.38,2/24/19,11:38,Ewallet,735.6,8
665-32-9167,Hà Nội,Member,Nữ,Health and beauty,36.26,2,3.626,76.146,1/10/19,17:15,Credit card,72.52,7.2
692-92-5582,Đà Nẵng,Member,Nữ,Food and beverages,54.84,3,8.226,172.746,2/20/19,13:27,Credit card,164.52,5.9
351-62-0822,TP HCM,Member,Nữ,Fashion accessories,14.48,4,2.896,60.816,2/6/19,18:07,Ewallet,57.92,4.5
529-56-3974,Đà Nẵng,Member,Nam,Electronic accessories,25.51,4,5.102,107.142,3/9/19,17:03,Cash,102.04,6.8
365-64-0515,Hà Nội,Normal,Nữ,Electronic accessories,46.95,5,11.7375,246.4875,2/12/19,10:25,Ewallet,234.75,7.1
252-56-2699,TP HCM,Normal,Nam,Food and beverages,43.19,10,21.595,453.495,2/7/19,16:48,Ewallet,431.9,8.2
829-34-3910,Hà Nội,Normal,Nữ,Health and beauty,71.38,10,35.69,749.49,3/29/19,19:21,Cash,713.8,5.7
299-46-1805,Đà Nẵng,Member,Nữ,Sports and travel,93.72,6,28.116,590.436,1/15/19,16:19,Cash,562.32,4.5
656-95-9349,Hà Nội,Member,Nữ,Health and beauty,68.93,7,24.1255,506.6355,3/11/19,11:03,Credit card,482.51,4.6
765-26-6951,Hà Nội,Normal,Nam,Sports and travel,72.61,6,21.783,457.443,1/1/19,10:39,Credit card,435.66,6.9
329-62-1586,Hà Nội,Normal,Nam,Food and beverages,54.67,3,8.2005,172.2105,1/21/19,18:00,Credit card,164.01,8.6
319-50-3348,Đà Nẵng,Normal,Nữ,Home and lifestyle,40.3,2,4.03,84.63,3/11/19,15:30,Ewallet,80.6,4.4
300-71-4605,TP HCM,Member,Nam,Electronic accessories,86.04,5,21.51,451.71,2/25/19,11:24,Ewallet,430.2,4.8
371-85-5789,TP HCM,Normal,Nam,Health and beauty,87.98,3,13.197,277.137,3/5/19,10:40,Ewallet,263.94,5.1
273-16-6619,Đà Nẵng,Normal,Nam,Home and lifestyle,33.2,2,3.32,69.72,3/15/19,12:20,Credit card,66.4,4.4
636-48-8204,Hà Nội,Normal,Nam,Electronic accessories,34.56,5,8.64,181.44,2/17/19,11:15,Ewallet,172.8,9.9
549-59-1358,Hà Nội,Member,Nam,Sports and travel,88.63,3,13.2945,279.1845,3/2/19,17:36,Ewallet,265.89,6
227-03-5010,TP HCM,Member,Nữ,Home and lifestyle,52.59,8,21.036,441.756,3/22/19,19:20,Credit card,420.72,8.5
649-29-6775,Đà Nẵng,Normal,Nam,Fashion accessories,33.52,1,1.676,35.196,2/8/19,15:31,Cash,33.52,6.7
189-17-4241,Hà Nội,Normal,Nữ,Fashion accessories,87.67,2,8.767,184.107,3/10/19,12:17,Credit card,175.34,7.7
145-94-9061,TP HCM,Normal,Nữ,Food and beverages,88.36,5,22.09,463.89,1/25/19,19:48,Cash,441.8,9.6
848-62-7243,Hà Nội,Normal,Nam,Health and beauty,24.89,9,11.2005,235.2105,3/15/19,15:36,Cash,224.01,7.4
871-79-8483,TP HCM,Normal,Nam,Fashion accessories,94.13,5,23.5325,494.1825,2/25/19,19:39,Credit card,470.65,4.8
149-71-6266,Đà Nẵng,Member,Nam,Sports and travel,78.07,9,35.1315,737.7615,1/28/19,12:43,Cash,702.63,4.5
640-49-2076,Đà Nẵng,Normal,Nam,Sports and travel,83.78,8,33.512,703.752,1/10/19,14:49,Cash,670.24,5.1
595-11-5460,Hà Nội,Normal,Nam,Health and beauty,96.58,2,9.658,202.818,3/15/19,10:12,Credit card,193.16,5.1
183-56-6882,TP HCM,Member,Nữ,Food and beverages,99.42,4,19.884,417.564,2/6/19,10:42,Ewallet,397.68,7.5
232-16-2483,TP HCM,Member,Nữ,Sports and travel,68.12,1,3.406,71.526,1/7/19,12:28,Ewallet,68.12,6.8
129-29-8530,TP HCM,Member,Nam,Sports and travel,62.62,5,15.655,328.755,3/10/19,19:15,Ewallet,313.1,7
272-65-1806,Hà Nội,Normal,Nữ,Electronic accessories,60.88,9,27.396,575.316,1/15/19,17:17,Ewallet,547.92,4.7
333-73-7901,TP HCM,Normal,Nữ,Health and beauty,54.92,8,21.968,461.328,3/23/19,13:24,Ewallet,439.36,7.6
777-82-7220,Đà Nẵng,Member,Nam,Home and lifestyle,30.12,8,12.048,253.008,3/3/19,13:01,Cash,240.96,7.7
280-35-5823,Đà Nẵng,Member,Nữ,Home and lifestyle,86.72,1,4.336,91.056,1/17/19,18:45,Ewallet,86.72,7.9
554-53-8700,TP HCM,Member,Nam,Home and lifestyle,56.11,2,5.611,117.831,2/2/19,10:11,Cash,112.22,6.3
354-25-5821,Đà Nẵng,Member,Nữ,Sports and travel,69.12,6,20.736,435.456,2/8/19,13:03,Cash,414.72,5.6
228-96-1411,TP HCM,Member,Nữ,Food and beverages,98.7,8,39.48,829.08,3/4/19,20:39,Cash,789.6,7.6
617-15-4209,TP HCM,Member,Nam,Health and beauty,15.37,2,1.537,32.277,3/16/19,19:47,Cash,30.74,7.2
132-32-9879,Đà Nẵng,Member,Nữ,Electronic accessories,93.96,4,18.792,394.632,3/9/19,18:00,Cash,375.84,9.5
370-41-7321,Đà Nẵng,Member,Nam,Health and beauty,56.69,9,25.5105,535.7205,2/27/19,17:24,Credit card,510.21,8.4
727-46-3608,Đà Nẵng,Member,Nữ,Food and beverages,20.01,9,9.0045,189.0945,2/6/19,15:47,Ewallet,180.09,4.1
669-54-1719,Đà Nẵng,Member,Nam,Electronic accessories,18.93,6,5.679,119.259,2/10/19,12:45,Credit card,113.58,8.1
574-22-5561,TP HCM,Member,Nữ,Fashion accessories,82.63,10,41.315,867.615,3/19/19,17:08,Ewallet,826.3,7.9
326-78-5178,TP HCM,Member,Nam,Food and beverages,91.4,7,31.99,671.79,2/3/19,10:19,Cash,639.8,9.5
162-48-8011,Hà Nội,Member,Nữ,Food and beverages,44.59,5,11.1475,234.0975,2/10/19,15:10,Cash,222.95,8.5
616-24-2851,Đà Nẵng,Member,Nữ,Fashion accessories,17.87,4,3.574,75.054,3/22/19,14:42,Ewallet,71.48,6.5
778-71-5554,TP HCM,Member,Nam,Fashion accessories,15.43,1,0.7715,16.2015,1/25/19,15:46,Credit card,15.43,6.1
242-55-6721,Đà Nẵng,Normal,Nam,Home and lifestyle,16.16,2,1.616,33.936,3/7/19,11:49,Ewallet,32.32,6.5
399-46-5918,TP HCM,Normal,Nữ,Electronic accessories,85.98,8,34.392,722.232,2/28/19,19:01,Cash,687.84,8.2
106-35-6779,TP HCM,Member,Nam,Home and lifestyle,44.34,2,4.434,93.114,3/27/19,11:26,Cash,88.68,5.8
635-40-6220,Hà Nội,Normal,Nam,Health and beauty,89.6,8,35.84,752.64,2/7/19,11:28,Ewallet,716.8,6.6
817-48-8732,Hà Nội,Member,Nữ,Home and lifestyle,72.35,10,36.175,759.675,1/20/19,15:55,Cash,723.5,5.4
120-06-4233,TP HCM,Normal,Nam,Electronic accessories,30.61,6,9.183,192.843,3/12/19,20:36,Cash,183.66,9.3
285-68-5083,TP HCM,Member,Nữ,Sports and travel,24.74,3,3.711,77.931,2/15/19,17:47,Credit card,74.22,10
803-83-5989,TP HCM,Normal,Nam,Home and lifestyle,55.73,6,16.719,351.099,2/24/19,10:55,Ewallet,334.38,7
347-34-2234,Đà Nẵng,Member,Nữ,Sports and travel,55.07,9,24.7815,520.4115,2/3/19,13:40,Ewallet,495.63,10
199-75-8169,Hà Nội,Member,Nam,Sports and travel,15.81,10,7.905,166.005,3/6/19,12:27,Credit card,158.1,8.6
853-23-2453,TP HCM,Member,Nam,Health and beauty,75.74,4,15.148,318.108,2/14/19,14:35,Cash,302.96,7.6
877-22-3308,Hà Nội,Member,Nam,Health and beauty,15.87,10,7.935,166.635,3/13/19,16:40,Cash,158.7,5.8
838-78-4295,TP HCM,Normal,Nữ,Health and beauty,33.47,2,3.347,70.287,2/10/19,15:43,Ewallet,66.94,6.7
109-28-2512,Đà Nẵng,Member,Nữ,Fashion accessories,97.61,6,29.283,614.943,1/7/19,15:01,Ewallet,585.66,9.9
232-11-3025,Hà Nội,Normal,Nam,Sports and travel,78.77,10,39.385,827.085,1/24/19,10:04,Cash,787.7,6.4
382-03-4532,Hà Nội,Member,Nữ,Health and beauty,18.33,1,0.9165,19.2465,2/2/19,18:50,Cash,18.33,4.3
393-65-2792,TP HCM,Normal,Nam,Food and beverages,89.48,10,44.74,939.54,1/6/19,12:46,Credit card,894.8,9.6
796-12-2025,TP HCM,Normal,Nam,Fashion accessories,62.12,10,31.06,652.26,2/11/19,16:19,Cash,621.2,5.9
510-95-6347,Đà Nẵng,Member,Nữ,Food and beverages,48.52,3,7.278,152.838,3/5/19,18:17,Ewallet,145.56,4
841-35-6630,TP HCM,Normal,Nữ,Electronic accessories,75.91,6,22.773,478.233,3/9/19,18:21,Cash,455.46,8.7
287-21-9091,Hà Nội,Normal,Nam,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/19,10:55,Ewallet,672.03,9.4
732-94-0499,TP HCM,Normal,Nữ,Electronic accessories,41.65,10,20.825,437.325,1/13/19,17:04,Credit card,416.5,5.4
263-10-3913,TP HCM,Member,Nam,Fashion accessories,49.04,9,22.068,463.428,1/9/19,14:20,Credit card,441.36,8.6
381-20-0914,Hà Nội,Member,Nữ,Fashion accessories,20.01,9,9.0045,189.0945,1/12/19,15:48,Credit card,180.09,5.7
829-49-1914,TP HCM,Member,Nữ,Food and beverages,78.31,10,39.155,822.255,3/5/19,16:24,Ewallet,783.1,6.6
756-01-7507,TP HCM,Normal,Nữ,Health and beauty,20.38,5,5.095,106.995,1/22/19,18:56,Cash,101.9,6
870-72-4431,TP HCM,Normal,Nữ,Health and beauty,99.19,6,29.757,624.897,1/21/19,14:42,Credit card,595.14,5.5
847-38-7188,TP HCM,Normal,Nữ,Food and beverages,96.68,3,14.502,304.542,1/26/19,19:56,Ewallet,290.04,6.4
480-63-2856,TP HCM,Normal,Nam,Food and beverages,19.25,8,7.7,161.7,1/23/19,18:37,Ewallet,154,6.6
787-56-0757,TP HCM,Member,Nữ,Food and beverages,80.36,4,16.072,337.512,2/23/19,18:45,Credit card,321.44,8.3
360-39-5055,TP HCM,Member,Nam,Sports and travel,48.91,5,12.2275,256.7775,3/9/19,10:17,Cash,244.55,6.6
730-50-9884,TP HCM,Normal,Nữ,Sports and travel,83.06,7,29.071,610.491,3/5/19,14:31,Ewallet,581.42,4
362-58-8315,TP HCM,Normal,Nam,Fashion accessories,76.52,5,19.13,401.73,3/25/19,10:23,Cash,382.6,9.9
633-44-8566,Hà Nội,Member,Nam,Food and beverages,49.38,7,17.283,362.943,3/27/19,20:35,Credit card,345.66,7.3
504-35-8843,Hà Nội,Normal,Nam,Sports and travel,42.47,1,2.1235,44.5935,1/2/19,16:57,Cash,42.47,5.7
318-68-5053,Đà Nẵng,Normal,Nữ,Health and beauty,76.99,6,23.097,485.037,2/27/19,17:55,Cash,461.94,6.1
565-80-5980,TP HCM,Member,Nữ,Home and lifestyle,47.38,4,9.476,198.996,1/23/19,10:25,Cash,189.52,7.1
225-32-0908,TP HCM,Normal,Nữ,Sports and travel,44.86,10,22.43,471.03,1/26/19,19:54,Ewallet,448.6,8.2
873-51-0671,Hà Nội,Member,Nữ,Sports and travel,21.98,7,7.693,161.553,1/10/19,16:42,Ewallet,153.86,5.1
152-08-9985,Đà Nẵng,Member,Nam,Health and beauty,64.36,9,28.962,608.202,3/12/19,12:09,Credit card,579.24,8.6
512-91-0811,TP HCM,Normal,Nam,Health and beauty,89.75,1,4.4875,94.2375,2/6/19,20:05,Credit card,89.75,6.6
594-34-4444,Hà Nội,Normal,Nam,Electronic accessories,97.16,1,4.858,102.018,3/8/19,20:38,Ewallet,97.16,7.2
766-85-7061,Đà Nẵng,Normal,Nam,Health and beauty,87.87,10,43.935,922.635,3/29/19,10:25,Ewallet,878.7,5.1
871-39-9221,TP HCM,Normal,Nữ,Electronic accessories,12.45,6,3.735,78.435,2/9/19,13:11,Cash,74.7,4.1
865-92-6136,Hà Nội,Normal,Nam,Food and beverages,52.75,3,7.9125,166.1625,3/23/19,10:16,Ewallet,158.25,9.3
733-01-9107,Đà Nẵng,Normal,Nam,Home and lifestyle,82.7,6,24.81,521.01,3/5/19,18:14,Cash,496.2,7.4
163-56-7055,TP HCM,Member,Nam,Fashion accessories,48.71,1,2.4355,51.1455,3/26/19,19:20,Cash,48.71,4.1
189-98-2939,TP HCM,Normal,Nam,Fashion accessories,78.55,9,35.3475,742.2975,3/1/19,13:22,Cash,706.95,7.2
551-21-3069,TP HCM,Normal,Nữ,Electronic accessories,23.07,9,10.3815,218.0115,2/1/19,11:27,Cash,207.63,4.9
212-62-1842,TP HCM,Normal,Nam,Food and beverages,58.26,6,17.478,367.038,3/28/19,16:44,Cash,349.56,9.9
716-39-1409,TP HCM,Normal,Nam,Health and beauty,30.35,7,10.6225,223.0725,3/19/19,18:19,Cash,212.45,8
704-48-3927,TP HCM,Member,Nam,Electronic accessories,88.67,10,44.335,931.035,1/12/19,14:50,Ewallet,886.7,7.3
628-34-3388,TP HCM,Normal,Nam,Fashion accessories,27.38,6,8.214,172.494,1/5/19,20:54,Credit card,164.28,7.9
630-74-5166,Hà Nội,Normal,Nam,Sports and travel,62.13,6,18.639,391.419,3/22/19,20:19,Cash,372.78,7.4
588-01-7461,TP HCM,Normal,Nữ,Food and beverages,33.98,9,15.291,321.111,3/24/19,10:43,Cash,305.82,4.2
861-77-0145,TP HCM,Member,Nam,Electronic accessories,81.97,10,40.985,860.685,3/3/19,14:30,Cash,819.7,9.2
479-26-8945,TP HCM,Member,Nữ,Sports and travel,16.49,2,1.649,34.629,2/5/19,11:32,Ewallet,32.98,4.6
210-67-5886,TP HCM,Member,Nữ,Health and beauty,98.21,3,14.7315,309.3615,2/5/19,10:41,Credit card,294.63,7.8
227-78-1148,Đà Nẵng,Normal,Nữ,Fashion accessories,72.84,7,25.494,535.374,2/15/19,12:44,Cash,509.88,8.4
645-44-1170,Hà Nội,Member,Nam,Home and lifestyle,58.07,9,26.1315,548.7615,1/19/19,20:07,Ewallet,522.63,4.3
237-01-6122,TP HCM,Member,Nữ,Home and lifestyle,80.79,9,36.3555,763.4655,2/1/19,20:31,Credit card,727.11,9.5
225-98-1496,TP HCM,Normal,Nữ,Fashion accessories,27.02,3,4.053,85.113,3/2/19,13:01,Credit card,81.06,7.1
291-32-1427,TP HCM,Member,Nam,Fashion accessories,21.94,5,5.485,115.185,3/5/19,12:29,Ewallet,109.7,5.3
659-65-8956,Đà Nẵng,Member,Nam,Fashion accessories,51.36,1,2.568,53.928,1/16/19,15:26,Ewallet,51.36,5.2
642-32-2990,TP HCM,Normal,Nữ,Food and beverages,10.96,10,5.48,115.08,2/2/19,20:48,Ewallet,109.6,6
378-24-2715,Đà Nẵng,Normal,Nam,Home and lifestyle,53.44,2,5.344,112.224,1/20/19,20:38,Ewallet,106.88,4.1
638-60-7125,Hà Nội,Normal,Nữ,Electronic accessories,99.56,8,39.824,836.304,2/14/19,17:03,Credit card,796.48,5.2
659-36-1684,TP HCM,Member,Nam,Sports and travel,57.12,7,19.992,419.832,1/12/19,12:02,Credit card,399.84,6.5
219-22-9386,Đà Nẵng,Member,Nam,Sports and travel,99.96,9,44.982,944.622,3/9/19,17:26,Credit card,899.64,4.2
336-78-2147,TP HCM,Member,Nam,Home and lifestyle,63.91,8,25.564,536.844,3/13/19,19:52,Credit card,511.28,4.6
268-27-6179,Đà Nẵng,Member,Nữ,Fashion accessories,56.47,8,22.588,474.348,3/9/19,14:57,Ewallet,451.76,7.3
668-90-8900,TP HCM,Normal,Nữ,Home and lifestyle,93.69,7,32.7915,688.6215,3/10/19,18:44,Credit card,655.83,4.5
870-54-3162,Hà Nội,Normal,Nữ,Sports and travel,32.25,5,8.0625,169.3125,1/27/19,13:26,Cash,161.25,9
189-08-9157,TP HCM,Normal,Nữ,Fashion accessories,31.73,9,14.2785,299.8485,1/8/19,16:17,Credit card,285.57,5.9
663-86-9076,TP HCM,Member,Nữ,Food and beverages,68.54,8,27.416,575.736,1/8/19,15:57,Ewallet,548.32,8.5
549-84-7482,TP HCM,Normal,Nữ,Sports and travel,90.28,9,40.626,853.146,2/8/19,11:15,Ewallet,812.52,7.2
191-10-6171,TP HCM,Normal,Nữ,Fashion accessories,39.62,7,13.867,291.207,1/25/19,13:18,Cash,277.34,7.5
802-70-5316,Hà Nội,Member,Nữ,Sports and travel,92.13,6,27.639,580.419,3/6/19,20:34,Cash,552.78,8.3
695-51-0018,Đà Nẵng,Normal,Nữ,Sports and travel,34.84,4,6.968,146.328,2/10/19,18:36,Cash,139.36,7.4
590-83-4591,TP HCM,Member,Nam,Electronic accessories,87.45,6,26.235,550.935,2/17/19,14:40,Credit card,524.7,8.8
483-71-1164,TP HCM,Normal,Nữ,Health and beauty,81.3,6,24.39,512.19,3/8/19,16:43,Ewallet,487.8,5.3
597-78-7908,TP HCM,Normal,Nam,Fashion accessories,90.22,3,13.533,284.193,2/18/19,19:39,Cash,270.66,6.2
700-81-1757,TP HCM,Normal,Nữ,Electronic accessories,26.31,5,6.5775,138.1275,1/18/19,20:59,Credit card,131.55,8.8
354-39-5160,Hà Nội,Member,Nữ,Home and lifestyle,34.42,6,10.326,216.846,2/18/19,15:39,Cash,206.52,9.8
241-72-9525,TP HCM,Normal,Nam,Sports and travel,51.91,10,25.955,545.055,2/16/19,12:21,Cash,519.1,8.2
575-30-8091,Hà Nội,Normal,Nam,Sports and travel,72.5,8,29,609,3/16/19,19:25,Ewallet,580,9.2
731-81-9469,TP HCM,Member,Nữ,Sports and travel,89.8,10,44.9,942.9,1/23/19,13:00,Credit card,898,5.4
280-17-4359,TP HCM,Member,Nam,Health and beauty,90.5,10,45.25,950.25,1/25/19,13:48,Cash,905,8.1
338-65-2210,TP HCM,Member,Nữ,Health and beauty,68.6,10,34.3,720.3,2/5/19,19:57,Cash,686,9.1
488-25-4221,TP HCM,Member,Nữ,Food and beverages,30.41,1,1.5205,31.9305,2/22/19,10:36,Credit card,30.41,8.4
239-10-7476,Hà Nội,Normal,Nữ,Home and lifestyle,77.95,6,23.385,491.085,1/21/19,16:37,Ewallet,467.7,8
458-41-1477,TP HCM,Normal,Nữ,Health and beauty,46.26,6,13.878,291.438,3/8/19,17:11,Credit card,277.56,9.5
685-64-1609,Hà Nội,Member,Nữ,Fashion accessories,30.14,10,15.07,316.47,2/10/19,12:28,Ewallet,301.4,9.2
568-90-5112,TP HCM,Normal,Nam,Health and beauty,66.14,4,13.228,277.788,3/19/19,12:46,Credit card,264.56,5.6
262-47-2794,TP HCM,Member,Nam,Home and lifestyle,71.86,8,28.744,603.624,3/6/19,15:07,Credit card,574.88,6.2
238-49-0436,Hà Nội,Normal,Nam,Health and beauty,32.46,8,12.984,272.664,3/27/19,13:48,Credit card,259.68,4.9
608-96-3517,Đà Nẵng,Member,Nữ,Fashion accessories,91.54,4,18.308,384.468,3/23/19,19:20,Credit card,366.16,4.8
584-86-7256,TP HCM,Member,Nam,Sports and travel,34.56,7,12.096,254.016,3/11/19,16:07,Credit card,241.92,7.3
